departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
GUATEMALA,1.0,SAN PEDRO SACATEPEQUEZ,109.0,54623.0,0,0
SACATEPEQUEZ,3.0,SAN LUCAS SACATEPEQUEZ,308.0,28445.0,0,0
GUATEMALA,1.0,GUATEMALA,101.0,1205668.0,0,4
ESCUINTLA,5.0,PALIN,511.0,70118.0,0,0
EL PROGRESO,2.0,SAN AGUSTIN ACASAGUASTLAN,203.0,54588.0,0,0
CHIMALTENANGO,4.0,PATZUN,407.0,69560.0,0,0
EL PROGRESO,2.0,EL JICARO,205.0,13508.0,0,0
GUATEMALA,1.0,FRAIJANES,113.0,61664.0,0,0
ESCUINTLA,5.0,ESCUINTLA,501.0,166078.0,0,1
SACATEPEQUEZ,3.0,ANTIGUA GUATEMALA,301.0,58338.0,0,0
SACATEPEQUEZ,3.0,SAN BARTOLOME MILPAS ALTAS,307.0,8519.0,0,0
TOTONICAPAN,8.0,TOTONICAPAN,801.0,117483.0,0,0
SUCHITEPEQUEZ,10.0,SAN ANTONIO SUCHITEPEQUEZ,1010.0,64441.0,0,0
ZACAPA,19.0,ZACAPA,1901.0,65730.0,0,0
GUATEMALA,1.0,VILLA NUEVA,115.0,464528.0,0,1
GUATEMALA,1.0,MIXCO,108.0,494561.0,0,4
HUEHUETENANGO,13.0,SAN PEDRO NECTA,1306.0,40493.0,0,0
ESCUINTLA,5.0,SANTA LUCIA COTZUMALGUAPA,502.0,123979.0,0,0
ALTA VERAPAZ,16.0,SAN PEDRO CARCHA,1609.0,248880.0,0,0
GUATEMALA,1.0,VILLA CANALES,116.0,165026.0,0,0
IZABAL,18.0,PUERTO BARRIOS,1801.0,109753.0,1,0
CHIQUIMULA,20.0,CHIQUIMULA,2001.0,117014.0,0,0
PETEN,17.0,FLORES,1701.0,43067.0,0,0
QUETZALTENANGO,9.0,QUETZALTENANGO,901.0,196867.0,0,0
SUCHITEPEQUEZ,10.0,MAZATENANGO,1001.0,83448.0,0,0
SAN MARCOS,12.0,MALACATAN,1215.0,108134.0,0,0
GUATEMALA,1.0,SAN MIGUEL PETAPA,117.0,145417.0,0,0
SOLOLA,7.0,SANTA CATARINA IXTAHUACAN,706.0,60200.0,0,0
CHIMALTENANGO,4.0,TECPAN GUATEMALA,406.0,108893.0,0,0
GUATEMALA,1.0,AMATITLAN,114.0,147604.0,0,1
GUATEMALA,1.0,SAN JUAN SACATEPEQUEZ,110.0,276836.0,0,0
SACATEPEQUEZ,3.0,SUMPANGO,304.0,45249.0,0,0
QUETZALTENANGO,9.0,ALMOLONGA,913.0,16679.0,0,0
