departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,0,0
SACATEPEQUEZ,3,SAN LUCAS SACATEPEQUEZ,308,28445,0,0
GUATEMALA,1,GUATEMALA,101,1205668,0,4
ESCUINTLA,5,PALIN,511,70118,0,0
EL PROGRESO,2,SAN AGUSTIN ACASAGUASTLAN,203,54588,0,0
CHIMALTENANGO,4,PATZUN,407,69560,0,0
EL PROGRESO,2,EL JICARO,205,13508,0,0
GUATEMALA,1,FRAIJANES,113,61664,0,0
ESCUINTLA,5,ESCUINTLA,501,166078,0,1
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,0,0
SACATEPEQUEZ,3,SAN BARTOLOME MILPAS ALTAS,307,8519,0,0
TOTONICAPAN,8,TOTONICAPAN,801,117483,0,0
SUCHITEPEQUEZ,10,SAN ANTONIO SUCHITEPEQUEZ,1010,64441,0,0
ZACAPA,19,ZACAPA,1901,65730,0,0
GUATEMALA,1,VILLA NUEVA,115,464528,0,1
GUATEMALA,1,MIXCO,108,494561,0,4
HUEHUETENANGO,13,SAN PEDRO NECTA,1306,40493,0,0
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,0,0
ALTA VERAPAZ,16,SAN PEDRO CARCHA,1609,248880,0,0
GUATEMALA,1,VILLA CANALES,116,165026,0,0
IZABAL,18,PUERTO BARRIOS,1801,109753,1,0
CHIQUIMULA,20,CHIQUIMULA,2001,117014,0,0
PETEN,17,FLORES,1701,43067,0,0
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,0,0
SUCHITEPEQUEZ,10,MAZATENANGO,1001,83448,0,0
SAN MARCOS,12,MALACATAN,1215,108134,0,0
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,0,0
SOLOLA,7,SANTA CATARINA IXTAHUACAN,706,60200,0,0
CHIMALTENANGO,4,TECPAN GUATEMALA,406,108893,0,0
GUATEMALA,1,AMATITLAN,114,147604,0,1
GUATEMALA,1,SAN JUAN SACATEPEQUEZ,110,276836,0,0
SACATEPEQUEZ,3,SUMPANGO,304,45249,0,0
QUETZALTENANGO,9,ALMOLONGA,913,16679,0,0
BAJA VERAPAZ,15,CUBULCO,1504,59496,0,0
GUATEMALA,1,CHINAUTLA,106,121721,0,0
SACATEPEQUEZ,3,SANTA LUCIA MILPAS ALTAS,309,17116,0,0
SACATEPEQUEZ,3,SANTIAGO SACATEPEQUEZ,306,36409,0,0
SACATEPEQUEZ,3,SANTO DOMINGO XENACOJ,305,14121,0,0
SUCHITEPEQUEZ,10,CHICACAO,1013,67994,0,0
SUCHITEPEQUEZ,10,PUEBLO NUEVO SUCHITEPEQUEZ,1019,11980,0,0
RETALHULEU,11,RETALHULEU,1101,108405,0,0
ESCUINTLA,5,MASAGUA,505,47441,0,0
GUATEMALA,1,PALENCIA,105,73811,0,0
SACATEPEQUEZ,3,SANTA MARIA DE JESUS,311,26472,0,0
SOLOLA,7,SANTIAGO ATITLAN,719,44025,0,0
SUCHITEPEQUEZ,10,SAN GABRIEL,1012,7945,0,0
QUICHE,14,CHINIQUE,1403,13294,0,0
SANTA ROSA,6,NUEVA SANTA ROSA,614,38981,0,0
SANTA ROSA,6,SANTA CRUZ NARANJO,612,17569,0,0
QUETZALTENANGO,9,EL PALMAR,919,30973,0,0
SAN MARCOS,12,NUEVO PROGRESO,1212,31500,0,0
QUICHE,14,CHICHICASTENANGO,1406,148943,0,0
SANTA ROSA,6,CHIQUIMULILLA,608,63897,0,0
RETALHULEU,11,SAN FELIPE,1105,26191,0,0
SAN MARCOS,12,SAN MARCOS,1201,48644,0,0
BAJA VERAPAZ,15,RABINAL,1503,45937,0,0
GUATEMALA,1,SAN PEDRO AYAMPUC,107,65594,0,0
HUEHUETENANGO,13,CUILCO,1304,65178,0,0
ESCUINTLA,5,LA DEMOCRACIA,503,25479,0,0
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,0,0
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,1,0
ESCUINTLA,5,NUEVA CONCEPCION,513,80234,0,0
ESCUINTLA,5,SIPACATE,514,17465,0,0
SANTA ROSA,6,SANTA MARIA IXHUATAN,610,26560,0,0
ALTA VERAPAZ,16,CAHABON,1612,69107,0,0
SOLOLA,7,SOLOLA,701,98886,1,0
QUETZALTENANGO,9,CONCEPCION CHIQUIRICHAPA,911,20245,0,0
